"NNVm_all","NNVm_eld","NNVi_all","NNV_eld"
32226.7957061115,43035.6301015239,1159.64716619743,1901.3272271064
21733.6632937,29069.1761504283,781.094196397242,1283.43451977019
16488.1992853472,22088.4861262514,591.835828933751,974.572338053311
33228.2276934176,44561.949840364,1191.71192448783,1965.23383229541
22744.9068938441,30618.2799646552,813.318371471044,1348.09318025188
17509.2378989431,23660.6137103239,624.216441430056,1039.98563775195
6870.94857487075,8481.79838050288,259.321006895847,375.832345887935
4631.33273863883,5722.54060392391,174.63877842569,253.434097209393
3511.72280739705,4343.28933419152,132.300891254562,192.247001243234
7074.63353703325,8755.51718310139,266.367857204882,387.402831234608
4836.82063952371,5999.70220325125,181.715243509917,265.114216783134
3719.06193592356,4623.99448888093,139.407959463045,204.039832761076
