"NNVm_all","NNVm_55+","NNVm_eld","NNVi_all","NNVi_55+","NNVi_eld"
31441.571263792,33829.2651453674,41850.3474616451,1135.40480918728,1271.58176621865,1853.00407918127
21201.8463162981,22815.806961098,28264.1159996563,764.699720374231,856.543995736333,1250.62568622663
16082.9998526665,17310.2386802938,21473.3347320327,579.363578132573,649.044993394318,949.513625642338
32409.2834125767,34886.2806045177,43316.2771557287,1166.53032569653,1306.96129314061,1914.50572562071
22178.5954789167,23883.1561387253,29750.9904500098,795.969425777777,892.098496064066,1312.81586502422
17068.760284732,18387.9044835452,22981.3458316552,610.77456120414,684.771222773616,1012.39378751426
6713.13346950727,7150.57258644719,8269.04326189376,254.269522205698,281.687389634105,367.341861283553
4524.55218233143,4819.94437334833,5578.30712518558,171.224335285569,189.708042052526,247.679018631566
3430.44281650744,3654.83330986013,4233.28567461494,129.704599126313,143.721778613884,187.8585599475
6910.4619630663,7363.06265465936,8533.03673055625,261.12757875132,289.368429163477,378.528570157036
4723.53188669542,5034.2838215331,5845.46012453833,178.108676691756,197.420413082248,258.965669029656
3631.1181986307,3871.07206702233,4503.68943516498,136.616167231398,151.466564285007,199.2479646288
