"All agesM","65+M","55+M","<55M","All agesI","65+I","55+I","<55I","type","vxint"
929.700143658957,765.852417900859,815.339855681349,114.360287977608,19693.8613442499,14887.6909256103,16354.3665030162,3339.4948412337,0,0
923.899792857237,761.494696779083,809.948897813846,113.950895043391,19533.2383297871,14789.2712053645,16210.9450196856,3322.29331010149,2,1
921.126194177057,759.420815396781,807.372416285105,113.753777891952,19456.1424666361,14742.3368350611,16142.1374054523,3314.00506118386,2,2
918.433450246773,757.413941495148,804.871933670864,113.561516575909,19381.1005230187,14696.8540343907,16075.1836569387,3305.91686608002,2,3
916.68195055487,756.11219234285,803.245980882458,113.435969672412,19332.1816686032,14667.3153455408,16031.5487485469,3300.6329200563,2,4
910.815384653416,751.774317495951,797.802917587075,113.012467066342,19167.6634563204,14568.6534719511,15884.8696564812,3282.79379983923,2,5
905.336528977447,747.75701558132,792.724081325962,112.612447651485,19012.9935984676,14476.9251704298,15747.0736074651,3265.91999100246,2,6
902.66204917758,743.901832897745,789.9558273647,112.70622181288,18980.0111924893,14393.5726228925,15709.9985132017,3270.01267928763,3,1
889.806980086489,733.495163943475,777.891560364919,111.91541972157,18639.6963506999,14158.930365676,15402.9113177272,3236.78503297278,3,2
877.374668381183,723.450471851398,766.226931624671,111.147736756512,18309.9508892924,13932.1872166649,15105.4287809942,3204.5221082982,3,3
869.314276171222,716.949049316208,758.665851947768,110.648424223454,18095.8139745458,13785.2794479043,14912.2802270977,3183.5337474481,3,4
842.474507678301,695.368133667639,733.498408616006,108.976099062295,17380.5935094382,13296.6959708129,14267.383366575,3113.21014286324,3,5
817.643596509623,675.506364184844,710.229291841433,107.41430466819,16715.5127646087,12845.5593114294,13668.0273129093,3047.48545169938,3,6
908.298110090301,748.131019689671,795.192128869519,113.105981220782,19135.8752337002,14488.9025987219,15849.1013223585,3286.77391134174,4,1
898.021253332653,739.645935001267,785.520479714676,112.500773617976,18866.9736807872,14297.5246685559,15605.6664188518,3261.30726193541,4,2
888.019095479461,731.404074331571,776.109302912816,111.909792566645,18604.607132208,14111.3369257348,15368.1872672315,3236.41986497657,4,3
881.500642187041,726.041992111582,769.977081496126,111.523560690915,18433.2560835323,13990.0387984068,15213.112103997,3220.14397953534,4,4
859.601211468242,708.084792863864,749.381988594217,110.219222874025,17855.2959117439,13582.7786330134,14690.1855284703,3165.11038327359,4,5
839.068767558998,691.337367568074,730.082873549181,108.985894009818,17309.8489400355,13201.3252666973,14196.8834983246,3112.96544171084,4,6
